transport_type,distance_km,electricity_kwh,diet_type,waste_kg,flights_per_year,transport_co2,electricity_co2,diet_co2,waste_co2,flight_co2,total_co2_kg
car_electric,75.25,188.86,vegetarian,32.18,0,112.88,154.87,100,16.09,0.0,356.7
cycle,22.98,115.15,vegetarian,15.8,0,0.0,94.42,100,7.9,0.0,203.12
motorcycle,8.61,89.23,vegetarian,22.51,0,28.4,73.17,100,11.26,0.0,211.33
train,5.57,303.57,vegan,23.15,1,5.01,248.93,50,11.58,21.25,319.01
car_petrol,74.34,113.96,meat_light,17.67,1,468.36,93.45,200,8.83,21.25,744.0
motorcycle,0.87,136.23,meat_light,23.11,0,2.89,111.71,200,11.56,0.0,327.2
bus,5.11,194.31,vegetarian,21.37,0,6.13,159.33,100,10.69,0.0,256.06
car_electric,12.3,196.42,pescatarian,15.69,0,18.45,161.07,150,7.85,0.0,339.67
car_petrol,40.51,109.38,vegan,24.89,2,255.23,89.7,50,12.45,42.5,464.76
train,36.88,137.57,vegetarian,15.01,3,33.19,112.81,100,7.51,63.75,323.51
car_electric,1.64,83.62,meat_light,10.43,1,2.46,68.57,200,5.22,21.25,315.93
motorcycle,3.18,208.38,meat_light,26.36,2,10.51,170.87,200,13.18,42.5,436.63
bus,13.95,155.22,pescatarian,17.61,1,16.73,127.28,150,8.8,21.25,345.2
car_diesel,13.21,102.64,vegan,25.95,0,67.36,84.17,50,12.97,0.0,202.87
walking,41.27,204.92,meat_heavy,22.63,0,0.0,168.04,300,11.32,0.0,509.46
bus,41.18,131.44,vegetarian,25.39,0,49.42,107.78,100,12.69,0.0,266.75
cycle,49.28,150.31,meat_light,18.12,0,0.0,123.25,200,9.06,0.0,312.1
car_electric,71.58,162.9,meat_light,3.82,0,107.37,133.57,200,1.91,0.0,476.28
walking,7.25,34.87,vegetarian,19.79,0,0.0,28.6,100,9.89,0.0,140.92
bus,1.32,178.67,vegetarian,17.93,0,1.59,146.51,100,8.96,0.0,256.62
walking,6.93,218.57,vegetarian,26.02,2,0.0,179.23,100,13.01,42.5,327.65
bus,25.1,97.16,meat_heavy,20.62,0,30.12,79.67,300,10.31,0.0,399.02
car_petrol,22.34,56.96,meat_light,20.55,0,140.77,46.71,200,10.27,0.0,409.9
car_electric,69.01,126.7,vegetarian,12.92,3,103.51,103.9,100,6.46,63.75,400.42
car_diesel,26.97,163.65,meat_light,30.46,0,137.54,134.19,200,15.23,0.0,455.26
cycle,57.67,63.6,pescatarian,29.53,2,0.0,52.15,150,14.76,42.5,275.9
cycle,37.84,109.2,vegetarian,21.86,3,0.0,89.54,100,10.93,63.75,268.72
car_petrol,2.67,160.49,meat_light,10.27,2,16.85,131.6,200,5.13,42.5,378.61
train,6.77,219.52,meat_light,13.43,3,6.09,180.0,200,6.72,63.75,468.08
bus,2.46,67.81,vegetarian,13.83,4,2.95,55.6,100,6.91,85.0,246.18
cycle,24.93,150.78,meat_light,31.63,1,0.0,123.64,200,15.81,21.25,343.12
train,8.24,152.52,vegetarian,18.9,4,7.42,125.07,100,9.45,85.0,350.68
cycle,11.56,178.39,meat_heavy,19.42,3,0.0,146.28,300,9.71,63.75,502.65
car_electric,47.62,94.44,meat_light,15.9,4,71.43,77.44,200,7.95,85.0,455.67
bus,2.56,153.49,meat_heavy,10.86,2,3.07,125.86,300,5.43,42.5,491.89
train,11.14,204.31,meat_heavy,15.17,3,10.02,167.53,300,7.58,63.75,585.18
bus,17.4,184.25,meat_light,29.08,2,20.89,151.09,200,14.54,42.5,455.79
car_electric,11.77,159.9,vegan,13.15,1,17.66,131.12,50,6.58,21.25,228.15
car_diesel,22.34,121.68,vegetarian,28.71,1,113.94,99.78,100,14.36,21.25,364.42
car_diesel,24.38,293.34,meat_light,34.75,2,124.34,240.54,200,17.37,42.5,672.32
bus,9.75,110.29,meat_light,26.82,0,11.7,90.44,200,13.41,0.0,291.59
walking,45.19,103.69,vegetarian,33.29,0,0.0,85.03,100,16.65,0.0,193.61
bus,31.35,74.35,meat_heavy,27.34,2,37.62,60.96,300,13.67,42.5,458.71
